#Position (bp)	mapping quality
1.484088041E9	59.134329816696116
1.491837848E9	59.17302481916928
1.499587655E9	59.31650890512372
1.507337462E9	59.256273329709494
1.515087269E9	59.34108614786861
1.522837076E9	59.30377541369943
1.530586883E9	59.116882685733216
1.5354753495E9	58.974667489373374
1.539350253E9	57.15276865139416
1.546086497E9	59.293638066995285
1.553836304E9	59.34826009299922
1.561586111E9	59.205853646915536
1.569335918E9	59.09719797055868
1.577085725E9	38.227803684987926
1.584835532E9	9.810525531954502
1.592585339E9	0.0
1.600335146E9	25.23135366276596
1.608084953E9	57.32247682751138
1.61583476E9	49.98725870513978
1.623584567E9	59.04355973655108
1.631334374E9	58.815354308043766
1.639084181E9	59.13240308519678
1.646833988E9	59.1989793248211
1.654583795E9	59.387292588650496
1.662333602E9	59.417469988795816
1.670083409E9	59.35011898483066
1.674420971E9	55.18608672220601
1.6782958745E9	59.06800927682901
1.685583023E9	59.42693208586999
1.69333283E9	59.20296899319449
1.701082637E9	59.340773177734555
1.708832444E9	59.05541975385541
1.716582251E9	36.30192502873052
1.724332058E9	54.57346850617768
1.732081865E9	59.27051467744798
1.739831672E9	59.411035265715455
1.747581479E9	59.30358260571331
1.755331286E9	58.76991129759674
1.763081093E9	58.246740213346634
1.7708309E9	59.24651239363884
1.778580707E9	59.26752404958363
1.786330514E9	59.237250529799276
1.794080321E9	58.76043220271328
1.801830128E9	59.43752785301417
1.8071930415E9	44.420615387516854
1.811067945E9	56.78415061039078
1.817329742E9	59.141663035642715
1.825079549E9	59.260927805060206
1.832829356E9	59.00257842419938
1.840579163E9	59.27429665207399
1.84832897E9	59.030760742492696
1.856078777E9	57.89514112387519
1.863828584E9	45.97637428606694
1.871578391E9	59.0238663433815
1.879328198E9	59.05262873956392
1.887078005E9	59.33023179839847
1.894827812E9	57.96436825871633
1.902577619E9	58.93580478906852
1.910327426E9	59.09762549755504
1.918077233E9	59.33823807504527
1.92582704E9	59.43169315414489
1.933576847E9	59.30217056887635
1.940609712E9	59.341927857148605
1.9444846155E9	57.653803280639465
1.949076461E9	59.03649893202435
1.956826268E9	58.82904429288712
1.964576075E9	59.29800595455585
1.972325882E9	59.17926858267927
1.980075689E9	48.433304337761
1.987825496E9	59.24510516038723
1.995575303E9	59.12897028075833
2.00332511E9	59.140570374480504
2.011074917E9	58.86615002424275
2.018824724E9	59.339142472690895
2.026574531E9	59.29924062702359
2.034324338E9	59.362344457114474
2.042074145E9	59.10195576885055
2.049823952E9	59.435460028319454
2.057573759E9	59.48117413527578
2.065323566E9	59.37185859933738
2.073073373E9	59.0289854642891
2.0769956295E9	44.354216407219944
2.080870533E9	0.0
2.088572987E9	0.0
2.096322794E9	30.08911429443758
2.104072601E9	59.37288795011833
2.111822408E9	59.391699416423016
2.119572215E9	59.30181425404215
2.127322022E9	58.71856697952944
2.135071829E9	59.30064775160599
2.142821636E9	59.11843336141735
2.150571443E9	59.36828880255099
2.15832125E9	59.3048722087228
2.166071057E9	59.25993548312857
2.173820864E9	59.2792738444473
2.181570671E9	59.34819913655164
2.1884264425E9	56.756537785110076
2.192301346E9	0.0
2.197070285E9	0.0
2.204820092E9	38.304463005672254
2.212569899E9	52.35900634119633
2.220319706E9	58.82434203785156
2.228069513E9	58.961676969041754
2.23581932E9	58.93911658001083
2.243569127E9	59.41025391511472
2.251318934E9	59.26718269418266
2.259068741E9	59.391522728889264
2.266818548E9	59.40436283678051
2.274568355E9	59.1411210708082
2.282318162E9	59.45171095934039
2.290067969E9	59.50160415150904
2.2961969505E9	58.2458923618619
2.300071854E9	0.0
2.305567583E9	0.0
2.31331739E9	23.856802557953635
2.321067197E9	48.429388412140696
2.328817004E9	54.33209551372727
2.336566811E9	58.91458298420283
2.344316618E9	58.664703200295
2.352066425E9	59.17933958543319
2.359816232E9	59.470811785269426
2.367566039E9	59.436089438936165
2.375315846E9	58.78370833279048
2.383065653E9	57.43822172418429
2.39081546E9	59.43617693511176
2.3975662905E9	58.42862393532788
