#Position (bp)	insert size
1.437589199E9	231.4466683557132
1.445339006E9	237.4596722706959
1.453088813E9	235.94741306191688
1.46083862E9	236.48157506843546
1.468588427E9	234.46024146544545
1.476338234E9	232.6780920916787
1.484088041E9	235.2258064516129
1.491837848E9	234.92117117117118
1.499587655E9	231.71969860064584
1.507337462E9	237.1116577540107
1.515087269E9	235.9400912106136
1.522837076E9	233.29406850459483
1.530586883E9	223.50481241406405
1.5354753495E9	225.94698620188817
1.539350253E9	230.6866225165563
1.546086497E9	238.56016156462584
1.553836304E9	236.59722796855607
1.561586111E9	239.12940679755118
1.569335918E9	232.69591496456857
1.577085725E9	237.2130376344086
1.584835532E9	185.7450980392157
1.592585339E9	0.0
1.600335146E9	249.13679081099895
1.608084953E9	235.69703670942062
1.61583476E9	110.76847161572053
1.623584567E9	234.05268573780614
1.631334374E9	232.13310783923598
1.639084181E9	234.93549051937345
1.646833988E9	229.77005559968228
1.654583795E9	230.45084388185654
1.662333602E9	230.69116763468855
1.670083409E9	226.51619870410366
1.674420971E9	235.88565488565487
1.6782958745E9	231.30595774982197
1.685583023E9	234.82935510887773
1.69333283E9	232.33678980341327
1.701082637E9	232.67968260597203
1.708832444E9	223.96119526872795
1.716582251E9	203.5555888522625
1.724332058E9	234.9606352046522
1.732081865E9	237.13141728828433
1.739831672E9	237.05538922155688
1.747581479E9	229.65936935127536
1.755331286E9	233.5723204994797
1.763081093E9	233.81946169772257
1.7708309E9	233.58843813387423
1.778580707E9	233.2271624898949
1.786330514E9	232.3130957314546
1.794080321E9	212.84018619084563
1.801830128E9	227.73564891846922
1.8071930415E9	222.60420475319927
1.811067945E9	226.29435084241823
1.817329742E9	230.49762641898866
1.825079549E9	232.52389781623404
1.832829356E9	237.64785356286774
1.840579163E9	236.2259665081662
1.84832897E9	229.95074309978767
1.856078777E9	235.0487223906453
1.863828584E9	227.13901113124516
1.871578391E9	226.9978282329714
1.879328198E9	227.4269547325103
1.887078005E9	231.55793718166385
1.894827812E9	230.21550094517957
1.902577619E9	238.68159626406282
1.910327426E9	235.7049007182087
1.918077233E9	231.64373862027108
1.92582704E9	230.4824202780049
1.933576847E9	232.69899808143253
1.940609712E9	230.9793502895996
1.9444846155E9	232.63596004439512
1.949076461E9	229.89479102326538
1.956826268E9	233.9646053702197
1.964576075E9	241.25156669650852
1.972325882E9	235.9920245398773
1.980075689E9	231.15341049002708
1.987825496E9	233.59568676716918
1.995575303E9	232.94934445768772
2.00332511E9	233.429075072584
2.011074917E9	235.95543000627745
2.018824724E9	236.36007051564565
2.026574531E9	235.2630782533506
2.034324338E9	238.10447458999798
2.042074145E9	230.75346432264737
2.049823952E9	238.5317444422191
2.057573759E9	230.05020325203253
2.065323566E9	230.81856455493184
2.073073373E9	227.0473520249221
2.0769956295E9	192.59154929577466
2.080870533E9	0.0
2.088572987E9	0.0
2.096322794E9	227.23130193905817
2.104072601E9	231.0781379883624
2.111822408E9	235.78267254038178
2.119572215E9	238.8948132780083
2.127322022E9	234.25356842989086
2.135071829E9	238.34123531970423
2.142821636E9	241.3966065747614
2.150571443E9	238.9488441780822
2.15832125E9	234.6703152364273
2.166071057E9	238.04092680814205
2.173820864E9	229.32409638554216
2.181570671E9	232.49851757729775
2.1884264425E9	222.26441136671178
2.192301346E9	0.0
2.197070285E9	0.0
2.204820092E9	217.24770642201835
2.212569899E9	235.33011869436203
2.220319706E9	231.0927276515941
2.228069513E9	235.8953636750319
2.23581932E9	239.83946784922395
2.243569127E9	237.84993747394748
2.251318934E9	237.79665220086795
2.259068741E9	230.96860441563703
2.266818548E9	228.477784419207
2.274568355E9	238.51280937907077
2.282318162E9	231.99223107569722
2.290067969E9	230.6156237049316
2.2961969505E9	231.0596399099775
2.300071854E9	0.0
2.305567583E9	0.0
2.31331739E9	233.7674418604651
2.321067197E9	229.85346592570926
2.328817004E9	233.44971623155504
2.336566811E9	232.90097205346294
2.344316618E9	236.16756982075864
2.352066425E9	233.67293000206485
2.359816232E9	231.32816958825927
