Sample	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_duplicates
23-Quanta-10ng-3_S15_L005_R1_001	41.0	16.666666666666664	77685031.0	151.0	12.143354652190752
23-Quanta-10ng-3_S15_L005_R2_001	42.0	25.0	77685031.0	151.0	11.49146415710338
23-Quanta-10ng-3_S15_L006_R1_001	41.0	33.33333333333333	76259714.0	151.0	12.02883989054267
23-Quanta-10ng-3_S15_L006_R2_001	42.0	25.0	76259714.0	151.0	11.523679383826405
23-Quanta-10ng-3_S15_L007_R1_001	41.0	16.666666666666664	78686789.0	151.0	12.349539495717593
23-Quanta-10ng-3_S15_L007_R2_001	42.0	25.0	78686789.0	151.0	11.01119490268411
23-Quanta-10ng-3_S15_L008_R1_001	41.0	25.0	74400978.0	151.0	12.222633116245305
23-Quanta-10ng-3_S15_L008_R2_001	42.0	33.33333333333333	74400978.0	151.0	11.13712908766496
24-Quanta-10ng-4_S16_L005_R1_001	41.0	25.0	79889801.0	151.0	12.206698355329522
24-Quanta-10ng-4_S16_L005_R2_001	41.0	25.0	79889801.0	151.0	11.479390760915123
24-Quanta-10ng-4_S16_L006_R1_001	41.0	33.33333333333333	77545839.0	151.0	11.841643897464706
24-Quanta-10ng-4_S16_L006_R2_001	41.0	25.0	77545839.0	151.0	11.380661236283757
24-Quanta-10ng-4_S16_L007_R1_001	41.0	25.0	81549019.0	151.0	12.435106751287861
24-Quanta-10ng-4_S16_L007_R2_001	41.0	25.0	81549019.0	151.0	11.175287758086355
24-Quanta-10ng-4_S16_L008_R1_001	41.0	25.0	75252034.0	151.0	11.829964524399529
24-Quanta-10ng-4_S16_L008_R2_001	41.0	33.33333333333333	75252034.0	151.0	10.756506056773844
25-Nextera-100ng-1_S1_L001_R1_001	40.0	16.666666666666664	46816322.0	151.0	8.699960425049298
25-Nextera-100ng-1_S1_L001_R2_001	41.0	16.666666666666664	46816322.0	151.0	7.379084790773092
25-Nextera-100ng-1_S1_L002_R1_001	41.0	16.666666666666664	47451004.0	151.0	8.774638484194725
25-Nextera-100ng-1_S1_L002_R2_001	41.0	16.666666666666664	47451004.0	151.0	6.909774807483117
25-Nextera-100ng-1_S1_L003_R1_001	41.0	25.0	47306628.0	151.0	8.658203267730684
25-Nextera-100ng-1_S1_L003_R2_001	41.0	16.666666666666664	47306628.0	151.0	5.240502016564591
25-Nextera-100ng-1_S1_L004_R1_001	41.0	16.666666666666664	51225309.0	151.0	9.118194067390519
25-Nextera-100ng-1_S1_L004_R2_001	41.0	16.666666666666664	51225309.0	151.0	8.285482570821728
26-Nextera-100ng-2_S2_L001_R1_001	40.0	16.666666666666664	41837500.0	151.0	8.37397858347984
26-Nextera-100ng-2_S2_L001_R2_001	41.0	16.666666666666664	41837500.0	151.0	6.706326858289017
26-Nextera-100ng-2_S2_L002_R1_001	40.0	16.666666666666664	42795518.0	151.0	8.512476129976918
26-Nextera-100ng-2_S2_L002_R2_001	41.0	16.666666666666664	42795518.0	151.0	6.420253834613931
26-Nextera-100ng-2_S2_L003_R1_001	40.0	25.0	42844175.0	151.0	8.409337265888155
26-Nextera-100ng-2_S2_L003_R2_001	41.0	16.666666666666664	42844175.0	151.0	4.8081513174647625
26-Nextera-100ng-2_S2_L004_R1_001	41.0	16.666666666666664	45618176.0	151.0	9.020154949657424
26-Nextera-100ng-2_S2_L004_R2_001	41.0	16.666666666666664	45618176.0	151.0	7.723326481852197
27-Nextera-100ng-3_S3_L001_R1_001	41.0	16.666666666666664	36267455.0	151.0	7.67185701638661
27-Nextera-100ng-3_S3_L001_R2_001	41.0	16.666666666666664	36267455.0	151.0	5.656719650194134
27-Nextera-100ng-3_S3_L002_R1_001	41.0	16.666666666666664	36819085.0	151.0	7.8803310684329375
27-Nextera-100ng-3_S3_L002_R2_001	41.0	16.666666666666664	36819085.0	151.0	5.5041607558781465
27-Nextera-100ng-3_S3_L003_R1_001	41.0	25.0	36970518.0	151.0	7.974467159615628
27-Nextera-100ng-3_S3_L003_R2_001	41.0	16.666666666666664	36970518.0	151.0	4.120152567321384
27-Nextera-100ng-3_S3_L004_R1_001	41.0	16.666666666666664	38524244.0	151.0	7.939536395333334
27-Nextera-100ng-3_S3_L004_R2_001	41.0	16.666666666666664	38524244.0	151.0	6.6970007754917305
28-Nextera-100ng-4_S4_L001_R1_001	41.0	16.666666666666664	43207296.0	151.0	8.273536025755021
28-Nextera-100ng-4_S4_L001_R2_001	41.0	16.666666666666664	43207296.0	151.0	5.956314216888316
28-Nextera-100ng-4_S4_L002_R1_001	41.0	16.666666666666664	44146139.0	151.0	8.348179142815042
28-Nextera-100ng-4_S4_L002_R2_001	41.0	16.666666666666664	44146139.0	151.0	5.567745024839411
28-Nextera-100ng-4_S4_L003_R1_001	41.0	25.0	44295376.0	151.0	8.38376444619854
28-Nextera-100ng-4_S4_L003_R2_001	41.0	16.666666666666664	44295376.0	151.0	4.005457400791087
28-Nextera-100ng-4_S4_L004_R1_001	41.0	16.666666666666664	46131973.0	151.0	8.484106335947047
28-Nextera-100ng-4_S4_L004_R2_001	41.0	16.666666666666664	46131973.0	151.0	6.937394181642958
29-Nextera-10ng-1_S5_L001_R1_001	40.0	16.666666666666664	55521900.0	151.0	9.517602035126657
29-Nextera-10ng-1_S5_L001_R2_001	41.0	16.666666666666664	55521900.0	151.0	8.506625160659752
29-Nextera-10ng-1_S5_L002_R1_001	40.0	16.666666666666664	56103558.0	151.0	9.58122023845823
29-Nextera-10ng-1_S5_L002_R2_001	41.0	16.666666666666664	56103558.0	151.0	8.150998448835125
29-Nextera-10ng-1_S5_L003_R1_001	40.0	25.0	56368136.0	151.0	9.8141047718006
29-Nextera-10ng-1_S5_L003_R2_001	41.0	16.666666666666664	56368136.0	151.0	6.859220484398676
29-Nextera-10ng-1_S5_L004_R1_001	41.0	16.666666666666664	56625634.0	151.0	9.673022762093638
29-Nextera-10ng-1_S5_L004_R2_001	41.0	16.666666666666664	56625634.0	151.0	9.00049710249614
3-Swift2S-100ng-3_S7_L005_R1_001	42.0	16.666666666666664	40186078.0	151.0	7.9680357646570315
3-Swift2S-100ng-3_S7_L005_R2_001	42.0	16.666666666666664	40186078.0	151.0	7.2222911458830765
3-Swift2S-100ng-3_S7_L006_R1_001	42.0	16.666666666666664	40685342.0	151.0	7.443890028369665
3-Swift2S-100ng-3_S7_L006_R2_001	42.0	16.666666666666664	40685342.0	151.0	6.855481918513291
3-Swift2S-100ng-3_S7_L007_R1_001	42.0	16.666666666666664	39823754.0	151.0	6.922945899986928
3-Swift2S-100ng-3_S7_L007_R2_001	42.0	16.666666666666664	39823754.0	151.0	5.46525283277947
3-Swift2S-100ng-3_S7_L008_R1_001	42.0	16.666666666666664	39950264.0	151.0	6.661775714301115
3-Swift2S-100ng-3_S7_L008_R2_001	42.0	16.666666666666664	39950264.0	151.0	6.343873929261548
30-Nextera-10ng-2_S6_L001_R1_001	40.0	16.666666666666664	48886716.0	151.0	9.400861872412648
30-Nextera-10ng-2_S6_L001_R2_001	40.0	16.666666666666664	48886716.0	151.0	8.074396906630156
30-Nextera-10ng-2_S6_L002_R1_001	40.0	16.666666666666664	48805017.0	151.0	9.490375656836505
30-Nextera-10ng-2_S6_L002_R2_001	40.0	16.666666666666664	48805017.0	151.0	7.492891002101771
30-Nextera-10ng-2_S6_L003_R1_001	40.0	25.0	49146021.0	151.0	9.412621938365945
30-Nextera-10ng-2_S6_L003_R2_001	40.0	16.666666666666664	49146021.0	151.0	6.166832167458793
30-Nextera-10ng-2_S6_L004_R1_001	40.0	16.666666666666664	48558445.0	151.0	9.667055225777105
30-Nextera-10ng-2_S6_L004_R2_001	40.0	16.666666666666664	48558445.0	151.0	8.520952007602176
31-Nextera-10ng-3_S7_L001_R1_001	40.0	16.666666666666664	42621073.0	151.0	8.596107901071164
